ico_smluvni_strany;castka;nazev_smluvni_strany;predmet;publikovano;hodnota_raw
25892533;59600000,0;TESCO SW a.s.;Dodatek č. 4 ke Smlouvě o pořízení monitorovacího systému MS2021+ (MS21+) včetně zajištění servisních a rozvojových služeb evidované pod č. 6005 v CES;17.12.2025;59 600 000 CZK bez DPH
25892533;80016000,0;TESCO SW a.s.;Dodatek č. 3 ke Smlouvě o zajištění servisních a rozvojových služeb aplikace MS14+ evidované pod č. 6004 v CES;17.12.2025;80 016 000 CZK bez DPH
48036315;195909,0;DEREZA, společnost s ručením omezeným;Předmětem dodatku jsou drobné změny předmětu díla.;17.12.2025;195 909 CZK bez DPH
25844822;302500,0;Omnis Olomouc, a.s.;Produkční a logistické zajištění prezentace Objednatele v rámci INFORM EU Communication Lab v Plzni ve dnech 11.-13.3. 2026;17.12.2025;302 500 CZK s DPH
48111198;7800,0;ACTIVA spol. s r.o.;Nákup mikrovlnné trouby - 5 ks obj. č. 718/2025;17.12.2025;7 800 CZK bez DPH
66002222;2849905,0;Ministerstvo pro místní rozvoj;Rozhodnutí o poskytnutí dotace - Rozhodnutí o poskytnutí dotace - chodník Vančurova;16.12.2025;2 849 905 CZK s DPH
24183857;8640000,0;Fénix Security s.r.o.;Nájem parkovacích stání pro autopark MMR;16.12.2025;8 640 000 CZK bez DPH
00176150;89770,0;Konica Minolta Business Solutions Czech, spol. s r.o.;prodloužení stávajícího maintenance SafeQ;16.12.2025;89 770 CZK bez DPH
00505609;92500,0;Klub českých turistů;Inzerci v časopise Turista pro rok 2026;16.12.2025;92 500 CZK bez DPH
43226477;795893,0;PB - C E N T R U M  spol. s r.o.;Úprava paušálních výdajů spojených s užíváním předmětu nájmu.;15.12.2025;795 893 CZK bez DPH
62417339;90000,0;RELSIE consulting s.r.o.;Provedení certifikace funkcionality elektronického nástroje NEN;15.12.2025;90 000 CZK bez DPH
10776966;157300,0;STUDIO PODCAST s.r.o.;Realizaci audio a video podcastů „Evropské fondy“;15.12.2025;157 300 CZK s DPH
04402405;146000,0;Mgr. Dominik Novák;zajištění provozu webové aplikace pro refundaci sociálních pohřbů;15.12.2025;146 000 CZK bez DPH
26454807;245000,0;HAVEL & PARTNERS s.r.o., advokátní kancelář;Dohoda o vypořádání poskytnutého plnění;12.12.2025;245 000 CZK bez DPH
14889749;294330,0;ARCDATA PRAHA, s.r.o.;prodloužení poskytování služeb systémové podpory (Esri standardní maintenance) ArcGIS licencí;12.12.2025;294 330 CZK bez DPH
24775487;200000,0;Algotech, a.s.;Zajištění služeb mimo servisní paušál AVAYA;12.12.2025;200 000 CZK bez DPH
26343657;53604,0;Úhlava, o.p.s.;Smlouva o podmínkách realizace projektu (SoPR) - 258/PP3;12.12.2025;53 604 EUR
04095316;53604,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 258/PP3;12.12.2025;53 604 EUR
24775487;294000,0;Algotech, a.s.;Objednávka prodloužení servisní podpory AVAYA;12.12.2025;294 000 CZK bez DPH
60077638;6619563,0;Dům dětí a mládeže, České Budějovice, U Zimního stadionu 1;"DDM ČB - Smlouva o poskytnutí NFV na realizaci projektu &quot;Výstavba srubu v Přední Výtoni&quot;";12.12.2025;6 619 563 CZK bez DPH
60077638;6619563,0;Dům dětí a mládeže, České Budějovice, U Zimního stadionu 1;"DDM ČB - Smlouva o poskytnutí dotace JčK na kofinancování projektu &quot;Výstavba srubu v Přední Výtoni&quot;";12.12.2025;6 619 563 CZK bez DPH
47916745;1144400,0;K-net Technical International Group, s.r.o.;Smlouva o dílo a smlouva o poskytování servisní podpory pro část C: EDR ochrana koncových stanic a serverů;12.12.2025;1 144 400 CZK bez DPH
66002222;;Ministerstvo pro místní rozvoj;Účastnická smlouva;11.12.2025;Neuvedeno
08841179;194000,0;Práce ze Dvora s.r.o.;instalace / implementace kabeláže ohl. propojení datových rozvaděčů;11.12.2025;194 000 CZK bez DPH
63078236;118800,0;Software602 a.s.;zajištění služby vzdáleného pečetění;11.12.2025;118 800 CZK bez DPH
63078236;198000,0;Software602 a.s.;zajištění služby vzdáleného podepisování;11.12.2025;198 000 CZK bez DPH
42409152;1882660,0;Dům dětí a mládeže, Jindřichův Hradec, Růžová 10;"DDM JH - Smlouva o poskytnutí dotace JčK na úhradu nezpůsobilých výdajů projektu &quot;Vybudování nové učebny zastřešením terasy DDM JH&quot;";11.12.2025;1 882 660 CZK bez DPH
42409152;2050000,0;Dům dětí a mládeže, Jindřichův Hradec, Růžová 10;"DDM JH - Smlouva o poskytnutí dotace JčK na kofinancování projektu &quot;Vybudování nové učebny zastřešením terasy DDM JH&quot;";11.12.2025;2 050 000 CZK bez DPH
42409152;2050000,0;Dům dětí a mládeže, Jindřichův Hradec, Růžová 10;"DDM JH - Smlouva o poskytnutí NFV z rozpočtu JčK na realizaci projektu &quot;Vybudování nové učebny zastřešením terasy DDM JH&quot;";11.12.2025;2 050 000 CZK bez DPH
26343673;338478,0;AUTOCENTRUM JAN ŠMUCLER s.r.o.;Kupní smlouva podle Rámcové dohody k veřejné zakázce s názvem „Centrální nákup osobních vozidel – kategorie 1B benzin manuál“ - nákup 1 ks vozidla.;11.12.2025;338 478 CZK bez DPH
09305394;83500,0;SK stavby - zámečnictví a.s.;Oprava vyhořelých rozvaděčů a nefunkčního panelu VZT , objekt MMR Salvátorská;10.12.2025;83 500 CZK bez DPH
27552233;198283,0;Hotel Start Jičín, s.r.o.;uskutečnění výjezdní porady MMR s kraji ke stavebnímu řádu;10.12.2025;198 283 CZK bez DPH
06313779;150000,0;Tomáš Pavelka, Tomáš Pavelka;Poradenské služby;10.12.2025;150 000 CZK bez DPH
73757870;493000,0;Mgr. Miroslav Koželuh;Zabezpečení kamenných plastik MMR Pařížská;10.12.2025;493 000 CZK bez DPH
60650745;6500000,0;Základní umělecká škola, Strakonice, Kochana z Prachové 263;"ZUŠ Strakonice - Smlouva o poskytnutí NFV z rozpočtu JčK na realizaci projektu &quot;Vybudování učeben pro zpracování hudby s využitím IT ve výuce a nahrávacího studia&quot;";10.12.2025;6 500 000 CZK bez DPH
60650745;6500000,0;Základní umělecká škola, Strakonice, Kochana z Prachové 263;"ZUŠ Strakonice - Smlouva o poskytnutí dotace JčK na kofinancování projektu „Vybudování učeben  pro zpracování hudby s využitím IT ve výuce a nahrávacího studia&quot;";10.12.2025;6 500 000 CZK bez DPH
48111198;21000,0;ACTIVA spol. s r.o.;Skartovací stroj 3 kusy obj. č. 709/2025;09.12.2025;21 000 CZK bez DPH
27655083;123670,0;ARISTOKRAT CATERING, s.r.o.;Strategická konference k cílům roku 2026;09.12.2025;123 670 CZK bez DPH
48111198;25275,0;ACTIVA spol. s r.o.;Objednávka drobného elektra - lampičky, rychlovarné konvice, kávovar;09.12.2025;25 275 CZK bez DPH
27373665;83600,0;OKsystem a.s.;služby a úpravy OKbase;09.12.2025;83 600 CZK bez DPH
03980481;255600,0;Mediaboard s.r.o.;monitoring medií;09.12.2025;255 600 CZK bez DPH
88850005;153400,0;Karel Sedlák;Obj. č. 696 - odborné zkoušky a inspekční prohlídky výtahů na MMR;09.12.2025;153 400 CZK bez DPH
21528772;10140000,0;A ADVERTISING COMMUNICATION, s.r.o.;Rámcová dohoda na zajištění kreativních řešení a výroby informačních kampaní  v oblasti fondů EU 2, část A – zajištění strategicko-kreativních služeb s důrazem na ATL komunikaci;08.12.2025;10 140 000 CZK bez DPH
26944022;29350000,0;Mitrenga-stavby, spol. s r.o.;Výstavba cyklistické stezky Židlochovice přes silnici II/425 (II);05.12.2025;29 350 000 CZK bez DPH
